Pathway;Pathway_total;Hits_total;Hits_sig;Expected;P_Fisher;P_EASE;P_Gamma;Emp_Hits;Empirical;AdjP_Fisher;AdjP_EASE;AdjP_Gamma;Pathway_Number;cpd_hits;Condition;Sex;EnrichFactor
Bile acid biosynthesis;64;14;1;0,692910;0,5230300;1,000000;0,00558750;18;0,18;1,0000000;1,000000;0,02663700;P14;EC00014;Acid;Female;1,443188870127434
Sialic acid metabolism;89;14;1;0,779530;0,5667500;1,000000;0,00693360;30;0,30;1,0000000;1,000000;0,02663700;P15;EC00057;Acid;Female;1,282824265903814
Fatty acid activation;78;9;3;2,078700;0,6509200;0,884940;0,01068500;69;0,69;1,0000000;1,000000;0,02663700;P16;"EC00017;EC00090";Acid;Female;1,443209698369173
Arachidonic acid metabolism;73;17;1;1,385800;0,7843500;1,000000;0,02277700;68;0,68;1,0000000;1,000000;0,02663700;P17;EC00090;Acid;Female;0,721604849184587
Fatty Acid Metabolism;35;3;3;0,566930;0,0087008;0,085127;0,00056837;0;0,00;0,2175200;1,000000;0,01420925;P1;"EC00014;EC00017;EC00020";Temp;Female;5,291658582188277
Linoleate metabolism;30;6;6;0,566930;0,0087008;0,085127;0,00056837;0;0,00;0,2175200;1,000000;0,01420925;P2;"EC00070;EC000107;EC000108";Temp;Female;10,583317164376554
C21-steroid hormone biosynthesis and metabolism;77;14;7;0,992130;0,0573890;0,233480;0,00069772;3;0,03;1,0000000;1,000000;0,01604756;P3;"EC00014;EC00048;EC00082";Temp;Female;7,055526997470090
Phosphatidylinositol phosphate metabolism;48;4;2;0,566930;0,0946810;0,438600;0,00081734;5;0,05;1,0000000;1,000000;0,01798148;P4;"EC00017;EC00016";Temp;Female;3,527772388125518
Putative anti-Inflammatory metabolites formation from EPA;19;3;2;0,566930;0,0946810;0,438600;0,00081734;8;0,08;1,0000000;1,000000;0,01798148;P5;"EC000100;EC000124";Temp;Female;3,527772388125518
Saturated fatty acids beta-oxidation;27;3;2;0,566930;0,0946810;0,438600;0,00081734;6;0,06;1,0000000;1,000000;0,01798148;P6;"EC00017;EC00020";Temp;Female;3,527772388125518
Omega-6 fatty acid metabolism;41;1;1;0,141730;0,1406200;1,000000;0,00099482;6;0,06;1,0000000;1,000000;0,01890158;P7;EC00016;Temp;Female;7,055669230226488
Xenobiotics metabolism;103;1;1;0,141730;0,1406200;1,000000;0,00099482;9;0,09;1,0000000;1,000000;0,01890158;P8;EC00017;Temp;Female;7,055669230226488
Carnitine shuttle;62;3;2;0,708660;0,1446000;0,515570;0,00101200;11;0,11;1,0000000;1,000000;0,01890158;P9;"EC00020;EC00059";Temp;Female;2,822227866677956
Glycosphingolipid metabolism;56;9;4;1,559100;0,1859600;0,445460;0,00120990;23;0,23;1,0000000;1,000000;0,01935840;P10;"EC00017;EC00021;EC000103";Temp;Female;2,565582707972548
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis;4;2;1;0,283460;0,2624300;1,000000;0,00169100;13;0,13;1,0000000;1,000000;0,02536500;P11;EC00016;Temp;Female;3,527834615113244
Lysine metabolism;43;1;1;0,283460;0,2624300;1,000000;0,00169100;11;0,11;1,0000000;1,000000;0,02536500;P12;EC00020;Temp;Female;3,527834615113244
Prostaglandin formation from arachidonate;48;4;1;0,283460;0,2624300;1,000000;0,00169100;9;0,09;1,0000000;1,000000;0,02536500;P13;EC00016;Temp;Female;3,527834615113244
Glycosphingolipid biosynthesis - globoseries;17;3;1;0,425200;0,3677900;1,000000;0,00271330;28;0,28;1,0000000;1,000000;0,03255960;P14;EC000126;Temp;Female;2,351834430856067
Glycerophospholipid metabolism;146;13;5;2,409400;0,4403700;0,700390;0,00379410;37;0,37;1,0000000;1,000000;0,04173510;P15;"EC00014;EC00016;EC00021";Temp;Female;2,075205445339088
Squalene and cholesterol biosynthesis;53;9;3;0,566930;0,4588300;1,000000;0,00413810;20;0,20;1,0000000;1,000000;0,04173510;P16;EC00014;Temp;Female;5,291658582188277
De novo fatty acid biosynthesis;73;7;3;2,551200;0,4825400;0,732890;0,00463060;55;0,55;1,0000000;1,000000;0,04173510;P17;"EC00016;EC00017;EC00059";Temp;Female;1,175917215428034
Leukotriene metabolism;89;3;1;0,708660;0,5373900;1,000000;0,00603610;20;0,20;1,0000000;1,000000;0,04828880;P18;EC00016;Temp;Female;1,411113933338978
